Model,TBS2102
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,8e-09
Filter Frequency,1e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-2.16640e-05,-13.75
-2.16560e-05,-13.75
-2.16480e-05,-13.75
-2.16400e-05,-13.75
-2.16320e-05,-13.75
-2.16240e-05,-13.5
-2.16160e-05,-13.75
-2.16080e-05,-13.75
-2.16000e-05,-13.5
-2.15920e-05,-13.75
-2.15840e-05,-13.5
-2.15760e-05,-13.5
-2.15680e-05,-13.5
-2.15600e-05,-13.75
-2.15520e-05,-13.75
-2.15440e-05,-13.5
-2.15360e-05,-13.75
-2.15280e-05,-13.75
-2.15200e-05,-13.75
-2.15120e-05,-13.75
-2.15040e-05,-13.75
-2.14960e-05,-13.75
-2.14880e-05,-13.75
-2.14800e-05,-13.75
-2.14720e-05,-13.75
-2.14640e-05,-13.75
-2.14560e-05,-13.75
-2.14480e-05,-13.5
-2.14400e-05,-13.75
-2.14320e-05,-13.75
-2.14240e-05,-13.75
-2.14160e-05,-13.75
-2.14080e-05,-13.75
-2.14000e-05,-13.75
-2.13920e-05,-13.75
-2.13840e-05,-13.75
-2.13760e-05,-13.75
-2.13680e-05,-13.75
-2.13600e-05,-13.75
-2.13520e-05,-13.75
-2.13440e-05,-13.75
-2.13360e-05,-13.75
-2.13280e-05,-13.75
-2.13200e-05,-13.75
-2.13120e-05,-13.5
-2.13040e-05,-13.75
-2.12960e-05,-13.75
-2.12880e-05,-13.75
-2.12800e-05,-13.5
-2.12720e-05,-13.75
-2.12640e-05,-13.75
-2.12560e-05,-13.75
-2.12480e-05,-13.75
-2.12400e-05,-13.75
-2.12320e-05,-13.5
-2.12240e-05,-13.75
-2.12160e-05,-13.75
-2.12080e-05,-13.75
-2.12000e-05,-13.5
-2.11920e-05,-13.5
-2.11840e-05,-13.75
-2.11760e-05,-13.75
-2.11680e-05,-13.75
-2.11600e-05,-13.75
-2.11520e-05,-13.75
-2.11440e-05,-13.75
-2.11360e-05,-13.75
-2.11280e-05,-13.75
-2.11200e-05,-13.5
-2.11120e-05,-13.75
-2.11040e-05,-13.75
-2.10960e-05,-13.75
-2.10880e-05,-13.5
-2.10800e-05,-13.75
-2.10720e-05,-13.5
-2.10640e-05,-13.75
-2.10560e-05,-13.75
-2.10480e-05,-13.75
-2.10400e-05,-13.5
-2.10320e-05,-13.5
-2.10240e-05,-13.75
-2.10160e-05,-13.75
-2.10080e-05,-13.75
-2.10000e-05,-13.75
-2.09920e-05,-13.75
-2.09840e-05,-13.75
-2.09760e-05,-13.75
-2.09680e-05,-13.75
-2.09600e-05,-13.75
-2.09520e-05,-13.5
-2.09440e-05,-13.75
-2.09360e-05,-13.75
-2.09280e-05,-13.75
-2.09200e-05,-13.75
-2.09120e-05,-13.5
-2.09040e-05,-13.75
-2.08960e-05,-13.75
-2.08880e-05,-13.75
-2.08800e-05,-14
-2.08720e-05,-13.75
-2.08640e-05,-13.75
-2.08560e-05,-13.75
-2.08480e-05,-13.75
-2.08400e-05,-13.75
-2.08320e-05,-13.5
-2.08240e-05,-13.75
-2.08160e-05,-13.75
-2.08080e-05,-13.75
-2.08000e-05,-13.75
-2.07920e-05,-13.75
-2.07840e-05,-13.5
-2.07760e-05,-13.5
-2.07680e-05,-13.5
-2.07600e-05,-13.75
-2.07520e-05,-13.5
-2.07440e-05,-13.75
-2.07360e-05,-13.75
-2.07280e-05,-13.5
-2.07200e-05,-13.75
-2.07120e-05,-13.75
-2.07040e-05,-13.75
-2.06960e-05,-13.75
-2.06880e-05,-13.75
-2.06800e-05,-13.75
-2.06720e-05,-13.75
-2.06640e-05,-13.75
-2.06560e-05,-13.75
-2.06480e-05,-13.75
-2.06400e-05,-13.75
-2.06320e-05,-13.75
-2.06240e-05,-13.5
-2.06160e-05,-13.75
-2.06080e-05,-13.5
-2.06000e-05,-13.75
-2.05920e-05,-13.75
-2.05840e-05,-13.5
-2.05760e-05,-13.5
-2.05680e-05,-13.75
-2.05600e-05,-13.75
-2.05520e-05,-13.75
-2.05440e-05,-13.75
-2.05360e-05,-13.75
-2.05280e-05,-13.75
-2.05200e-05,-13.5
-2.05120e-05,-13.75
-2.05040e-05,-13.75
-2.04960e-05,-13.75
-2.04880e-05,-13.5
-2.04800e-05,-13.5
-2.04720e-05,-13.75
-2.04640e-05,-13.75
-2.04560e-05,-13.75
-2.04480e-05,-13.5
-2.04400e-05,-13.75
-2.04320e-05,-13.75
-2.04240e-05,-13.5
-2.04160e-05,-13.5
-2.04080e-05,-13.75
-2.04000e-05,-13.75
-2.03920e-05,-13.75
-2.03840e-05,-13.75
