0.000000,%f,-0.000193,%f
0.000000,%f,-0.000193,%f
0.013916,%f,-0.000193,%f
0.027954,%f,-0.000192,%f
0.046509,%f,-0.000192,%f
0.062744,%f,-0.000191,%f
0.076050,%f,-0.000190,%f
0.092896,%f,-0.000189,%f
0.109131,%f,-0.000190,%f
0.121582,%f,-0.000189,%f
0.142456,%f,-0.000188,%f
0.156494,%f,-0.000188,%f
0.176270,%f,-0.000187,%f
0.187622,%f,-0.000185,%f
0.205322,%f,-0.000183,%f
0.219971,%f,-0.000179,%f
0.238892,%f,-0.000177,%f
0.251221,%f,-0.000174,%f
0.268921,%f,-0.000171,%f
0.284912,%f,-0.000165,%f
0.300049,%f,-0.000159,%f
0.317505,%f,-0.000150,%f
0.330566,%f,-0.000140,%f
0.348999,%f,-0.000124,%f
0.364990,%f,-0.000107,%f
0.380493,%f,-0.000084,%f
0.398193,%f,-0.000050,%f
0.409180,%f,-0.000025,%f
0.430786,%f,0.000040,%f
0.445801,%f,0.000094,%f
0.463379,%f,0.000184,%f
0.478516,%f,0.000284,%f
0.494141,%f,0.000405,%f
0.508179,%f,0.000545,%f
0.527954,%f,0.000766,%f
0.541992,%f,0.000927,%f
0.560669,%f,0.001181,%f
0.575073,%f,0.001477,%f
0.591797,%f,0.001783,%f
0.608276,%f,0.002191,%f
0.622803,%f,0.002541,%f
