0.000000,%f,0.000627,%f
0.000000,%f,0.000626,%f
0.014038,%f,0.000623,%f
0.029419,%f,0.000632,%f
0.046387,%f,0.000627,%f
0.061401,%f,0.000629,%f
0.077026,%f,0.000629,%f
0.095215,%f,0.000629,%f
0.107178,%f,0.000628,%f
0.125854,%f,0.000628,%f
0.141113,%f,0.000630,%f
0.158081,%f,0.000627,%f
0.173584,%f,0.000630,%f
0.188965,%f,0.000629,%f
0.203247,%f,0.000626,%f
0.222534,%f,0.000629,%f
0.236816,%f,0.000631,%f
0.250977,%f,0.000629,%f
0.271484,%f,0.000629,%f
0.284790,%f,0.000632,%f
0.305420,%f,0.000637,%f
0.316406,%f,0.000638,%f
0.332886,%f,0.000638,%f
0.350586,%f,0.000641,%f
0.364502,%f,0.000649,%f
0.381348,%f,0.000658,%f
0.398193,%f,0.000665,%f
0.414307,%f,0.000685,%f
0.431763,%f,0.000703,%f
0.449219,%f,0.000734,%f
0.459229,%f,0.000759,%f
0.480103,%f,0.000815,%f
0.493408,%f,0.000860,%f
0.509399,%f,0.000924,%f
0.526367,%f,0.001023,%f
0.541992,%f,0.001110,%f
0.561401,%f,0.001274,%f
0.573975,%f,0.001410,%f
0.590210,%f,0.001607,%f
0.607788,%f,0.001885,%f
0.622314,%f,0.002200,%f
