Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
0,1,0,0
0.002,1,0.02,0
0.004,1,0.0396,0
0.006,1,0.058808,0
0.008,1,0.07763184,0.0756989176765132
0.01,1,0.0960792032,0.184290023571238
0.012,1,0.114157619136,0.451099875090594
0.014,1,0.13187446675328,0.700241449186874
0.016,1,0.149236977418214,1.06677067986472
0.018,1,0.16625223786985,1.38401820576868
0.02,1,0.182927193112453,1.79507502467086
0.022,1,0.199268649250204,2.13988323768587
0.024,1,0.2152832762652,2.56673370231922
0.026,1,0.230977610739896,2.91950249403308
0.028,1,0.246358058525098,3.19795335967765
0.03,1,0.261430897354596,3.48499412983925
0.032,1,0.276202279407504,3.74828532906072
0.034,1,0.290678233819354,4.04862615250024
0.036,1,0.304864669142967,4.26338081378815
0.038,1,0.318767375760108,4.4870036139601
0.04,1,0.332392028244906,4.69328430311965
0.042,1,0.345744187680007,4.86995892827895
0.044,1,0.358829303926407,5.08910915390831
0.046,1,0.371652717847879,5.23357958956004
0.048,1,0.384219663490922,5.39967031891871
0.05,1,0.396535270221103,5.5608966934509
0.052,1,0.408604564816681,5.70361694307173
0.054,1,0.420432473520347,5.82238362951689
0.056,1,0.43202382404994,5.91665624960655
0.058,1,0.443383347568942,5.98856406943371
0.06,1,0.454515680617563,6.11714866861016
0.062,1,0.465425367005212,6.18756414845507
0.064,1,0.476116859665107,6.29571249741791
0.066,1,0.486594522471805,6.41330655140531
0.068,1,0.496862632022369,6.44863215817945
0.07,1,0.506925379381922,6.51230387837881
0.072,1,0.516786871794283,6.5848058648575
0.074,1,0.526451134358398,6.65486057277543
0.076,1,0.53592211167123,6.71669624630684
0.078,1,0.545203669437805,6.76804651736457
0.08,1,0.554299596049049,6.80873780500095
0.082,1,0.563213604128068,6.83972955372572
0.084,1,0.571949332045507,6.86249065445729
0.086,1,0.580510345404596,6.9543155836646
0.088,1,0.588900138496504,6.99820431816133
0.09,1,0.597122135726574,7.01220138017903
0.092,1,0.605179693012043,7.00887846780567
0.094,1,0.613076099151802,7.07234725884417
0.096,1,0.620814577168766,7.08946697546716
0.098,1,0.628398285625391,7.15588220086069
0.1,1,0.635830319912883,7.16632841556545
0.102,1,0.643113713514625,7.14590042947854
0.104,1,0.650251439244333,7.18672510944088
0.106,1,0.657246410459446,7.1804821325687
0.108,1,0.664101482250257,7.22545731501615
0.11,1,0.670819452605252,7.21760470947804
0.112,1,0.677403063553147,7.25805777136001
0.114,1,0.683855002282084,7.32027531038298
0.116,1,0.690177902236442,7.3122583298254
0.118,1,0.696374344191714,7.34328180752779
0.12,1,0.702446857307879,7.31636121104438
0.122,1,0.708397920161722,7.33690016553159
0.124,1,0.714229961758487,7.38071788356381
0.126,1,0.719945362523317,7.35692450325174
0.128,1,0.725546455272851,7.37512748221924
0.13,1,0.731035526167394,7.41392675129452
0.132,1,0.736414815644046,7.38417990312289
0.134,1,0.741686519331165,7.3965184371201
0.136,1,0.746852788944542,7.43007952658236
0.138,1,0.751915733165651,7.47164433463417
0.14,1,0.756877418502338,7.43767560060237
0.142,1,0.761739870132291,7.44248317180238
0.144,1,0.766505072729645,7.46749214388629
0.146,1,0.771174971275053,7.42510548784921
0.148,1,0.775751471849552,7.42666516459219
0.15,1,0.780236442412561,7.45150350366643
