Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
0,1,0,0
0.002,1,0.379784946236559,0
0.004,1,0.743235056075847,0
0.006,1,1.09105290312635,0
0.008,1,1.42391084277683,0.0756989176765132
0.01,1,1.74245231190471,0.259988941247751
0.012,1,2.047293072683,0.483992063308805
0.014,1,2.33902240289018,0.782761277134992
0.016,1,2.61820423502394,1.09190913189994
0.018,1,2.88537824642076,1.45177822262034
0.02,1,3.14106090248868,1.80317469580987
0.022,1,3.38574645506981,2.11537204819113
0.024,1,3.61990789786251,2.45155433624997
0.026,1,3.84399788075014,2.76734575476582
0.028,1,4.0584495848039,3.11679612458942
0.03,1,4.26367755965104,3.4497043934326
0.032,1,4.46007852482734,3.74093552994034
0.034,1,4.64803213666273,4.056899585734
0.036,1,4.82790172218261,4.27916814571546
0.038,1,5.00003498144357,4.50523927984203
0.04,1,5.16476465966105,4.71102565551571
0.042,1,5.32240919042832,4.96138462447404
0.044,1,5.47327331127011,5.13510176015957
0.046,1,5.61764865272086,5.32650647609613
0.048,1,5.7558143020662,5.5084514872229
0.05,1,5.88803734283754,5.66739524231631
0.052,1,6.0145733711026,5.79838739240662
0.054,1,6.1356669895498,5.90154707789396
0.056,1,6.25155228032185,5.97968477970698
0.058,1,6.36245325751231,6.11246756107928
0.06,1,6.46858430019995,6.18558355778762
0.062,1,6.57015056685802,6.29536732409975
0.064,1,6.66734839193939,6.33816854750019
0.066,1,6.76036566540436,6.41672865788525
0.068,1,6.84938219592461,6.50660216962923
0.07,1,6.93457005846548,6.59363793287273
0.072,1,7.01609392691858,6.67057049651678
0.074,1,7.09411139242746,6.73452299981687
0.076,1,7.16877326802198,6.78524255428527
0.078,1,7.24022388015007,6.82390035711195
0.08,1,7.30860134767049,6.85231134877937
0.082,1,7.37403784884595,6.87245459227729
0.084,1,7.43665987685258,6.96190025424222
0.086,1,7.49658848429978,7.00377176417909
0.088,1,7.55393951723312,7.0161437382702
0.09,1,7.60882383907256,7.08726413632207
0.092,1,7.6613475449189,7.10699152467626
0.094,1,7.71161216664282,7.17306758138126
0.096,1,7.75971486915281,7.18163681909231
0.098,1,7.8057486382215,7.15869713242369
0.1,1,7.84980246023348,7.19691956615328
0.102,1,7.89196149420193,7.26398181234437
0.104,1,7.9323072363868,7.26410402058607
0.106,1,7.97091767783253,7.30422002981485
0.108,1,8.00786745513005,7.28600289923756
0.11,1,8.04322799469435,7.31417886854395
0.112,1,8.07706765083653,7.28861229885979
0.114,1,8.10945183789732,7.3126119409769
0.116,1,8.14044315669744,7.36067208174704
0.118,1,8.17010151554916,7.34111924231324
0.12,1,8.19848424606318,7.36314323412468
0.122,1,8.22564621397444,7.40516270091473
0.124,1,8.25163992520134,7.45369678710466
0.126,1,8.27651562734322,7.42521548939376
0.128,1,8.30032140681233,7.43417877672164
0.13,1,8.32310328178814,7.46222322651126
0.132,1,8.3449052911736,7.42197513691938
0.134,1,8.36576957972527,7.42498407057467
0.136,1,8.38573647952203,7.45076108433796
0.138,1,8.40484458792969,7.4104352447076
0.14,1,8.42313084221228,7.41454166302377
0.142,1,8.44063059093434,7.44193449020289
0.144,1,8.457377662292,7.47904028501989
0.146,1,8.47340442950525,7.51766292999828
0.148,1,8.48874187339749,7.47758355374499
0.15,1,8.50341964228362,7.47519411617826
0.152,1,8.51746610928218,7.49313713497217
0.154,1,8.53090842716251,7.5201507049662
0.156,1,8.54377258083294,7.5493346453252
0.158,1,8.55608343757131,7.50109659035269
0.16,1,8.56786479509513,7.49203622517986
0.162,1,8.57913942756415,7.50475999336058
0.164,1,8.5899291296044,7.52784347989922
0.166,1,8.60025475843862,7.55417261649586
0.168,1,8.6101362742047,7.57963378247905
0.17,1,8.61959277853999,7.60211922204298
0.172,1,8.62864255150601,7.5450998347991
0.174,1,8.6373030869251,7.60271315253602
0.176,1,8.64559112619714,7.56436566036441
0.178,1,8.65352269066178,7.55433462899723
0.18,1,8.6611131125688,7.56039222286656
0.182,1,8.66837706471638,7.5744305618528
0.184,1,8.6753285888146,7.51563986268699
0.186,1,8.68198112262903,7.499517365344
0.188,1,8.68834752595681,7.50773717956621
0.19,1,8.69444010548555,7.5281252791677
0.192,1,8.70027063858294,7.55298939773048
0.194,1,8.70585039606325,7.57778618138748
0.196,1,8.71119016397451,7.60009971699087
0.198,1,8.71630026444872,7.61888690378114
0.2,1,8.72119057565523,7.63393958734089
0.202,1,8.72587055089586,7.64551535848031
0.204,1,8.73034923687884,7.65409472453334
0.206,1,8.73463529120663,7.66022962983932
0.208,1,8.73873699911172,7.66445563489519
0.21,1,8.74266228947251,7.59154778880075
0.212,1,8.74641875014036,7.56040608447257
0.214,1,8.75001364260743,7.55460804115202
0.216,1,8.75345391604368,7.56289571919747
0.218,1,8.75674622072997,7.57787607477012
0.22,1,8.75989692091363,7.59494652685345
0.222,1,8.76291210711089,7.6114466518828
0.224,1,8.76579760788031,7.62601417611896
0.226,1,8.76855900108976,7.63811346249763
0.228,1,8.7712016246988,7.64770250963134
0.23,1,8.77373058707735,7.65500667266988
0.232,1,8.77615077688048,7.6603716221111
0.234,1,8.77846687249852,7.66417306541269
0.236,1,8.78068335110073,7.66676564518086
0.238,1,8.78280449728995,7.66845777022345
0.24,1,8.78483441138501,7.6695027583247
0.242,1,8.78677701734694,7.59440063307937
0.244,1,8.78863607036428,7.56180735411103
0.246,1,8.79041516411205,7.55509701782646
0.248,1,8.79211773769863,7.56284999265522
0.25,1,8.79374708231374,7.57754975249337
0.252,1,8.79530634759057,7.5945027950207
0.254,1,8.7967985476942,7.61098411075156
0.256,1,8.79822656714821,7.62558725667347
0.258,1,8.79959316641066,7.637747672129
0.26,1,8.8009009872102,7.64740541592136
0.262,1,8.80215255765277,7.65477553063561
0.264,1,8.80335029710857,7.66019845893245
0.266,1,8.80449652088884,7.6640479076236
0.268,1,8.80559344472158,7.59097951921726
0.27,1,8.80664318903463,7.63550721586101
0.272,1,8.80764778305465,7.58694570364061
0.274,1,8.80860916872972,7.56923990017022
0.276,1,8.80952920448327,7.56973414236971
0.278,1,8.81040966880657,7.57988403963879
0.28,1,8.81125226369661,7.59418066792178
0.282,1,8.81205861794622,7.60927735136694
0.284,1,8.81283029029262,7.62331064878447
0.286,1,8.81356877243057,7.63539190787247
0.288,1,8.81427549189593,7.56954103168448
0.29,1,8.81495181482513,7.54433414967745
0.292,1,8.8155990485961,7.54328684559014
0.294,1,8.8162184443554,7.55522501950733
0.296,1,8.81681119943689,7.57290892138492
0.298,1,8.81737845967617,7.51621225039302
0.3,1,8.81792132162558,7.5011498160836
0.302,1,8.81844083467394,7.50977374941418
0.304,1,8.81893800307506,7.53017632772204
0.306,1,8.81941378788904,7.55484573608831
0.308,1,8.81986910884005,7.57935548519252
0.31,1,8.82030484609424,7.52566216952998
0.312,1,8.82072184196115,7.51126848277763
0.314,1,8.82112090252196,7.51925032619603
0.316,1,8.82150279918769,7.46267631783301
0.318,1,8.82186827019037,7.45296307314229
0.32,1,8.82221802201014,7.46919508538213
0.322,1,8.82255273074088,7.49765931623565
0.324,1,8.82287304339719,7.52983657364441
0.326,1,8.82317957916505,7.56081788357654
0.328,1,8.82347293059881,7.58810377038393
0.33,1,8.82375366476661,7.61072621388328
0.332,1,8.82402232434654,7.55293040237553
0.334,1,8.82427942867572,7.53365795970402
0.336,1,8.82452547475418,7.53682865197
0.338,1,8.82476093820562,7.55165329921182
0.34,1,8.82498627419677,7.57122881036531
0.342,1,8.82520191831734,7.59140550114452
0.344,1,8.82540828742197,7.60991138696989
0.346,1,8.82560578043608,7.55000100854609
0.348,1,8.825794779127,7.52989017857143
0.35,1,8.82597564884197,7.53298569996722
0.352,1,8.82614873921436,7.62384846723349
0.354,1,8.82631438483954,7.67684283870437
0.356,1,8.82647290592172,7.70441509202887
