Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
0,1,0,0
0.002,1,0.02,0
0.004,1,0.0396,0
0.006,1,0.058808,0
0.008,1,0.07763184,0
0.01,1,0.0960792032,0.0756989176765132
0.012,1,0.114157619136,0.259988941247751
0.014,1,0.13187446675328,0.559690980985318
0.016,1,0.149236977418214,0.891352383029716
0.018,1,0.16625223786985,1.28302006574279
0.02,1,0.182927193112453,1.66802760849841
0.022,1,0.199268649250204,2.08718409853959
0.024,1,0.2152832762652,2.40748112205987
0.026,1,0.230977610739896,2.79485113830049
0.028,1,0.246358058525098,3.10405429664181
0.03,1,0.261430897354596,3.41675994336448
0.032,1,0.276202279407504,3.70047033942627
0.034,1,0.290678233819354,3.94071910251952
0.036,1,0.304864669142967,4.20978103101714
0.038,1,0.318767375760108,4.39195214356981
0.04,1,0.332392028244906,4.66121052642058
0.042,1,0.345744187680007,4.87463100260478
0.044,1,0.358829303926407,5.03721442724586
0.046,1,0.371652717847879,5.23234363668848
0.048,1,0.384219663490922,5.3498691647035
0.05,1,0.396535270221103,5.49011529590807
0.052,1,0.408604564816681,5.62863452720505
0.054,1,0.420432473520347,5.75256165914808
0.056,1,0.43202382404994,5.85647702937227
0.058,1,0.443383347568942,6.01516482253397
0.06,1,0.454515680617563,6.11169700953006
0.062,1,0.465425367005212,6.24125881784683
0.064,1,0.476116859665107,6.29994617400701
0.066,1,0.486594522471805,6.39074931623136
0.068,1,0.496862632022369,6.489714985472
0.07,1,0.506925379381922,6.58326547052398
0.072,1,0.516786871794283,6.66469546585604
0.074,1,0.526451134358398,6.73162588414142
0.076,1,0.53592211167123,6.78421922462842
0.078,1,0.545203669437805,6.82397714629964
0.08,1,0.554299596049049,6.85296715285003
0.082,1,0.563213604128068,6.8733544072394
0.084,1,0.571949332045507,6.88714245224352
0.086,1,0.580510345404596,6.89605091149627
0.088,1,0.588900138496504,6.97717721791245
0.09,1,0.597122135726574,7.01310499366986
0.092,1,0.605179693012043,7.02138656019673
0.094,1,0.613076099151802,7.08980846883948
0.096,1,0.620814577168766,7.10784588181158
0.098,1,0.628398285625391,7.1729365061445
0.1,1,0.635830319912883,7.18099323869218
0.102,1,0.643113713514625,7.23354271598614
0.104,1,0.650251439244333,7.22893079831382
0.106,1,0.657246410459446,7.19429506748057
0.108,1,0.664101482250257,7.22276768554711
0.11,1,0.670819452605252,7.28208013157703
0.112,1,0.677403063553147,7.27628384127382
0.114,1,0.683855002282084,7.312041951525
0.116,1,0.690177902236442,7.29072915566584
0.118,1,0.696374344191714,7.31678802443634
0.12,1,0.702446857307879,7.36553400122862
0.122,1,0.708397920161722,7.3458670037665
0.124,1,0.714229961758487,7.36736154017464
0.126,1,0.719945362523317,7.33298344858851
0.128,1,0.725546455272851,7.34790544774912
0.13,1,0.731035526167394,7.38764197477265
0.132,1,0.736414815644046,7.36098908477812
0.134,1,0.741686519331165,7.37726618828253
0.136,1,0.746852788944542,7.41482748069468
0.138,1,0.751915733165651,7.3843316333424
0.14,1,0.756877418502338,7.39625581878868
0.142,1,0.761739870132291,7.42962189311304
0.144,1,0.766505072729645,7.39542896620325
0.146,1,0.771174971275053,7.40428657134882
0.148,1,0.775751471849552,7.43522491282602
0.15,1,0.780236442412561,7.39918450014291
0.152,1,0.784631713564309,7.40668635222693
